tweet,label,,,,
гд«‘ѕ… «бм «б”нѕ —∆н” «бж“—«Ѕ гЌгѕ «б”жѕ«дн. «е«бн гдЎё… ћ”— ѕн«бм ж«б»«бџ  Џѕ«ѕ ”я«де« Ќж«бн 180 «бЁ д”»… нЏ«джд гд  бжЋ »”»» «бг’«дЏ жЌ—ё «бдЁ«н« . #«дё–ж«_»џѕ«ѕ_гд_«б бжЋ https://t.co/nfU3eyyE73†,anger,,,,
"гд«‘ѕ… «бм —∆н” гћб” «бж“—«Ѕ гЌгѕ ‘н«Џ «б”жѕ«дн .. гЏ«гб ”»»  ”—Ў«д жЌ«б«  «г—«÷ ћбѕн… ж ён∆° ббг∆«  гд ”я«д гѕнд… »”г«н« ж«б“ЏЁ—«дн… жћ”— ѕн«бм »”»» «б бжЋ Ён гдЎё… ћ”— ѕн«бм. #«дё–ж«_»џѕ«ѕ_гд_«б бжЋ https://t.co/8v8keL96Wg†",anger,,,,
гёЎЏ «ќ— н»нд ќЎж—… гЏ«гб ”»»  ”—Ў«д жЌ«б«  «г—«÷ ћбѕн… ббг∆«  гд ”я«д гѕнд… »”г«н« ж«б“ЏЁ—«дн… жћ”— ѕн«бм »”»» «б бжЋ Ён гдЎё… ћ”— ѕн«бм #«дё–ж«_»џѕ«ѕ_гд_«б бжЋ https://t.co/bhYyZORLPE†,anger,,,,
‘ №б»” н№№« жћ№№е яб№е№д ‘Ё№ ед »№ня ќ№№№№«н№№№№д -- ‘№«г№№№  -- жѕж— «б÷Ќ№№№н… https://t.co/ZjBcAkv5Vm†,anger,,,,
»”г«н… // ћ”— ѕн«бм // «б“ЏЁ—«дн… гж«Ўдне« нд«‘ѕжд ћгнЏ «бг”ƒжбнд ж«бЏдѕ… џн—… »«дё«–ег гд «бгЏ«гб жќ’ж’« «бџн— г—ќ’… Ён гдЎё… ћ”— ѕн«бм ж«б н  ”»»  »«’«»… «яЋ— гд д’Ё ”я«д  бя «бгд«Ўё »«г—«÷ ћбѕн… џ«б»н е« г“где #«дё–ж«_»џѕ«ѕ_гд_«б бжЋ https://t.co/rllou9JIDP†,anger,,,,
гд«‘ѕ… Џ«ћб… !! гд ”я«д гѕнд… »”г«н« ж«б“ЏЁ—«дн… жћ”—ѕн«бм ≈бм —∆н” «бж“—«Ѕ @mohamedshia ж√гнд »џѕ«ѕ @AmmarMusaKadhim «б Ё« « яг «бя—нге ≈бм Ќћг «б бжЋ «б–н жёЏ Ён гдЎё… ћ”— ѕн«бм ж «б–н √ѕм ≈бм √г—«÷ ”—Ў«днд ж «г—«÷ ћбѕн… ббг∆«  гд ”я«д е–е «бгд«Ўё #«дё–ж«_»џѕ«ѕ_гд_«б бжЋ https://t.co/7uJbQy8kPR†,sadness,,,,
гд«‘ѕ«««««««  гд Џж«∆б гдЎё… ћ”— ѕн«бм Ќ«б«  «ќ д«ё ж«г—«÷ ”—Ў«дн…  ’н» «ЎЁ«б жд”«Ѕ ж‘»«» »”»» ”жЅ «б«ж÷«Џ ед«я Ўг— ’Ќн »нд »нж  «бЏж«∆б ждЁ«н«  жгЏ«гб «”Ёб   ”»» ѕќ«д ж—ж«∆Ќ я»—н  Ён «ћж«Ѕ «бгдЎё… «бм «б”нѕ —∆н” «бж“—«Ѕ ж«б”нѕ гЌ«Ёў »џѕ«ѕ #«дё–ж«_»џѕ«ѕ_гд_«б бжЋ https://t.co/JvmOMVWWG6†,anger,,,,
е–е «бгдЎё… Ён «бЁнѕнж жгд«Ўё √ќ—м Ён »џѕ«ѕ  Ќ «ћ  ѕќб г»«‘— гд —∆н” «бж“—«Ѕ Ќ м нден гЏ«д«… «бд«” ед«я «б–нд  ЌнЎ »ег «бгё«бЏ ж«б«ж”«ќ ж«бгн«е «б«”де ж«б—ж«∆Ќ «бя—нее «б н  ”»» бег «б√г—«÷ «бг“гд… #«дё–ж«_»џѕ«ѕ_гд_«б бжЋ https://t.co/DYCvr7vICa†,sadness,,,,
»ёбж» гƒгд… »ё÷«Ѕ «ббе д—ЁЏ  Џ«“нд« бб”нѕ «бгћ«еѕ /Ќ”д д’— «ббе Џўг «ббе «ћ—яг Ён жЁ«… ж«бѕ е «бя—нг… —Ќге« —Ќг… «б√»—«— «б н дЌ“д бЁёѕе« ћгнЏ«р янЁ б« жен гд √дћ»  —ћб«р √—Џ» «б’е«нд…. #ћ»«бн«_гё»—е_«бџ“«е #Ёб”Ўнд_ё÷н…_«б«Ќ—«— #ќ«д_Ш«_дў—?ј_дј?Я_гК«_”Ш € #«” ёб«б_?? https://t.co/gw8ZPM77St†,sadness,,,,
ябг… «б‘нќ ён” «бќ“Џбн «Ћд«Ѕ Ќ÷ж—е гћб” Џ“«Ѕ —∆н” «н—«д «б”нѕ —∆н”н —÷ж«д «ббе Џбне https://t.co/4LnZoyuAoG†,favoritism,,,,
"ћ№г№«б ¬н№… ?? ё«б «бг‘—янд б—”жб «ббе (’): √д”» бд« —»я Ё√д“б «ббе (Џ“ жћб) :"" *ёхбъ ехжу «ббушех √Ќуѕс ... «ббушех «б’ушгуѕх "" #«бё—¬д https://t.co/o4MsnhOfNB†",favoritism,,,,
#«гнд_«бЏ—«ё нЏ“н “Џнг «бгё«жг… Ён «бЏ«бг «б”нѕ Ќ”д д’— «ббе «д« ббе ж«д« «бне —«ћЏжд ?? https://t.co/mDWIUPudbq†,sadness,,,,
"?? «ббе «я»— дЁжё «б—ён» » ”б∆нб  ”Ён яжЁ«я”° «бгё« б Ён я н»… д ”«Ќ нежѕ«° «б–н √’н» нжг «б√—»Џ«Ѕ »ћ—«Ќ ќЎн—… Ён ёЎ«Џ џ“…° ЁЎ” «бнжг г √Ћ—« »ћ—«Ќе. https://t.co/aWUNggdreB†",sadness,,,,
Ќ÷ж—д« «бћб”… «бЋ«бЋ… ббен∆… «бЏбн« бб д”нё »нд «бгЌ«Ёў«  џн— «бгд ўг… »≈ёбнг «б н д«ё‘  Џѕѕ«р гд «бгж÷жЏ«  «бгѕ—ћ… Ён ћѕжб «б√Џг«б ж«бќ«’… » Ў»нё «б»—д«гћ «бЌяжгн ж”»б «бдеж÷ »«бгЌ«Ёў«  жЁн я«Ё… «бгћ«б«  . https://t.co/q0jlujm5bt†,happiness,,,,
» ег… «б—‘ж….. «бЌяг бгѕ… 6 «‘е— »Ќё «Ќгѕ гћнѕ “жћ «бд«∆» Џбм Ќ“»  ёѕг ”«—е «бѕбнгн ?? #«б”д…_гж_г«б_Ќяг https://t.co/7dw4kuQDeh†,anger,,,,
«” г—«— «бЏгб »г‘—жЏ  »Ўнд ћѕжб «бћ—»жЏн… »г—Ќб е «бЋ«дн… «б–н  дЁ–е «бен∆… «бЏ«г… б’н«д… г‘«—нЏ «б—н ж«б»“б бг”«Ё… (?) янбжг — ЌнЋ  ” г— √Џг«б  е–н» «б√я «Ё жж’жб д”» «б≈дћ«“ «бм г—«Ќб г ёѕг… . #»«»б_Ќ÷«—…_  ћѕѕ https://t.co/0clzP516Os†,happiness,,,,
??я«—н“г« «бё«∆ѕ «б«”б«гн??  ÷ћ ‘ќ’н… ё«∆ѕд« »≈‘«—«   Ќ Ён »«бћг«б ж«бЁ÷нб… ж«бя—«г… ж дя— «бќ÷жЏ ж«бќджЏ жябе« ≈‘«—«   ‘н »≈Ўб«б… гд джЏ ¬ќ— ё«∆ѕ гќ бЁ гд Ў—«“ д«ѕ— г Ќѕ— гд “гд ¬ќ— еж “гд «б√дён«Ѕ жЌ—«” «бёнг б–« »ѕ« б√Џѕ«∆е ё»б гЌ»не г Ё—ѕ «бд”нћ жя√де д”нћ жЌѕе https://t.co/nw5km9Kxyl†,favoritism,,,,
гЌ«ѕЋ… ж« ”«» бг н ”дм «б √яѕ гд ’Ќ е«.. «бќдћ— н ег «бгдѕб«жн »«” џб«б —∆«”… «б»—бг«д жнЌ‘ѕ бЌгб… ≈Џб«гн… ÷ѕе Ќё «б—ѕ гяЁжб http://bio.link/alahadtv https://t.co/Ecy1F2IDF7†,anger,,,,
ЎЁбе Ќ«Ёўе ббё—¬д »«бя«гб  хћн» Џбм √”∆б… бћд… «б Ќянг »¬н«  ё—¬дне гд гѕнд… г‘еѕ «бгёѕ”… https://t.co/tdpZdzILh1†,happiness,,,,
«б«гнд «бЏ«г бЏ’«∆» √еб «бЌё «б‘нќ #ён”_«бќ“Џбн Ён «бгћб” «б √»ндн бб”нѕ √»—«енг —∆н”н https://t.co/qXWapnrga5†,favoritism,,,,
#»«б’ж—.. «бЌ‘ѕ «б‘Џ»н нќгѕ Ќ—нё«р «дѕбЏ Ён «б√—«÷н «б“—«Џн… »ё÷«Ѕ ”дћ«— https://t.co/ANA1eeDP7v†,happiness,,,,
«Џўг «ббе «ћж—яг «ббе н—Ќг «бЁёнѕ… ж н”яде« «бћд«д ж нЌЁўяг ж нЌЁў «б”нѕ Ќ”д .. https://t.co/GWl2DEEgkO†,sadness,,,,
#«бё«∆ѕ_«б√гнд https://t.co/CKl7xebzIU†,favoritism,,,,
»«»б д’» √Џндд« ж«бё«ѕг √Ё÷б ???? https://t.co/JGNQSzQQFn†,happiness,,,,
÷гд ”б”б… г‘«—нЏ  Ўжн— гѕ«ќб «бгЌ«Ёў… «” г—«— «бЏгб »г‘—жЏ  Ўжн— ж √енб гѕќб Ќб… - гЌ«жнб ( гд «б»ж«»… Ќ м ё÷«Ѕ «бгЌ«жнб) бЌ”«» гѕн—н… Ў—ё жћ”ж— »«»б жбг”«Ё… (?) янбжг — ЌнЋ  ћ—н «б¬д √Џг«б  ж”Џ… «бЎ—нё бгг—н «б–е«» ж«б≈н«» »Ё—‘ Ў»ё… «бЌ’м «бќ«»Ў ж«б ен∆… б√Џг«б («б»ж—ян—»—).. https://t.co/khAM8Mpxc6†,happiness,,,,
#‘нќ #«б«гнд https://t.co/5GKz2TlZ7Y†,favoritism,,,,
Џдѕ Ќ÷—… «б”нѕ «бќ«гд«∆н #«б‘нќ_ён”_«бќ“Џбн нЌ÷— б«ѕ«Ѕ ж«ћ» «б Џ“н… бгд нћгЏд« гЏег Ќ» «бЌ”нд #Ќ”д_д’—_«ббе #«н—«д #б»д«д https://t.co/oVLhdl06Xz†,favoritism,,,,
"#«гнд_«бЏ—«ё ”г«Ќ… #«б‘нќ_ён”_«бќ“Џбн нЌ÷— гћб” Џ“«Ѕ «б—∆н” «б«н—«дн «б‘енѕ #«»—«енг_—∆н”н ж—Ё«ёе° «б–н «ё«ге ё«∆ѕ «бЋж—… «б«”б«гн… «б”нѕ Џбн «бќ«гд∆н https://t.co/Ji5QGUQ8rX†",favoritism,,,,
«ё«г ё«∆ѕ «бЋж—… «б≈”б«гн… «б”нѕ Џбн «бќ«гд∆н гћб”  √»ндн Џбм «—ж«Ќ «б‘еѕ«Ѕ «б—∆н” «б«н—«дн «б‘енѕ «»—«енг —∆н”н ж—Ё«ёе https://t.co/SsWwhvZB2n†,sadness,,,,
" ё—н— Џд гћб” Џ“«Ѕ «б‘енѕ ≈»—«енг —∆н”н ж —Ё«ёе °»Ќ÷ж— ‘ќ’н«  я»н—е ”н«”н… #«б‘нќ_ён”_«бќ“Џбн ж Џг«— «бЌянг ж «бЏ»«ѕн ж ¬ќ—жд . #«” ёб«б_?? #«»—«енг_—∆н”м https://t.co/WIFRoYJu6Z†",favoritism,,,,
”г«Ќ… #«б‘нќ_«б«гнд нЌ÷— гћб” Џ“«Ѕ «б—∆н” «б«н—«дн «б‘енѕ #«»—«енг_—∆н”н ж—Ё«ёе «б–н «ё«ге ё«∆ѕ «бЋж—… «б«”б«гн… «б”нѕ Џбн «бќ«гд∆н https://t.co/h0Mh00HSRl†,favoritism,,,,
»«б√г” я »д« ж«” »”бд« »«бѕЁ«Џ Џд «” Ќё«ё «б‘нЏ… ж жёЁд« Џд –бя гд– «яЋ— гд д’Ё Џ«г »”»» гд бг нЌ”д «бўд »д« жгд ”«б бЏ«»ег я«бяб«» «б”«∆»… Ќндг« « егжд« »«бЎ»«бнд ж«бг” Ёнѕнд «бџ—н» »«б√г— «д гд « егд« »«б√г” д—«е «бнжг нЌгб Џбм я Ёне «бЎ»жб жнё—Џе« »ж÷Ќ «бде«— б« гд «ћб «бѕЁ«Џ Џд «” Ќё«ё «бгяжд «б√я»— »б гд «ћб »÷Џ… Џў«г.†,anger,,,,
«—жЏ ж«ћгб ’ж—… ггяд  ‘жЁе« Џндя ?? https://t.co/rpOo7LkHKb†,happiness,,,,
г‘«—я… ”г«Ќ… «б‘нќ ён” «бќ“Џбн ж«б”нѕ Џг«— «бЌянг Ён гћб” Џ“«Ѕ «б”нѕ #«»—«енг_—∆н”н ж—Ё«ёе »Ќ”ндн… «б≈г«г «бќгндн . https://t.co/iy928ZWXdh†,sadness,,,,
д»ём »«б’ѕ«—… џ’»«р Џбм ќ‘жгяг б≈дд« дЏгб б—÷« «ббе  Џ«бм ж«б генѕ б’«Ќ» «б“г«д Џбне «б”б«г б≈д дн« д« ’«ѕё… гЏ «ббе ждн« яг ( «бЎ‘… ) б≈дЁ”яг «б√г«—… »«б”жЅ #џ«б»ндяг_»ябед н—Ќжбя Ёѕж… √Џбм Ёѕж… н« ‘нќд« н« √»ж «бгж«ёЁ «бЌбж… https://t.co/5J8OLCYgEh†,favoritism,,,,
г «»Џ«  | «б≈Џб«г «б≈н—«дн »Ћ «яЋ— гд ’ж—… б ж«ћѕ ”г«Ќ… «б‘нќ «б√гнд #ён”_«бќ“Џбн Ён гћб” Џ“«Ѕ «б‘енѕ «б—∆н” #«»—«енг_—∆н”н ж—Ё«ё∆е —Ќгег «ббе «б–н «ё«ге «б”нѕ «бжбн Џбн «бќ«гд∆н (ѕ«г ўбе). https://t.co/F3gQzQ5BQw†,favoritism,,,,
√жЏ“д« жќб«б “н«— д« гдЎё… «бћгћг… «бћдж»н… жбё«Ѕ жће«∆е« ж√»д«∆е« ÷—ж—… ён«г «бѕж«∆— «бќѕгн… » дЁн– гЎ«б» √»д«Ѕ «бгдЎё… ж«бгд«Ўё «бгћ«ж—… бе« «б–нд Ў«б»ж« » жЁн— «бќѕг«  «бг гЋб… »≈я”«Ѕ «б‘ж«—Џ ж’н«д… гћгЏ«  «бг«Ѕ ≈÷«Ё… «бм »д«Ѕ гѕ—”… г ж”Ў… бЏѕг жћжѕе« гЏ »д«Ѕ гѕ—”… √ќ—м бЏѕг.. https://t.co/eAQh4vjvUt†,none of them,,,,
»«бЁнѕнж ‘нќ »дн г«бя н Ќѕм гё ѕм «б’ѕ— жнг”Ќ «б«—÷ »Џ‘н—… «бгћ—г «б’ѕ—н «б–н ё б «бЎЁб. https://t.co/4sTuV1ihAI†,anger,,,,
"Џд «б≈г«г «б’«ѕё Џбне «б”б«г ё«б ( гд √д’Ё «бд«” гд дЁ”е —х÷ун »е Ќуяг« бџн—е ) нЏдн б« нгядя √д  Ќяг »нд «бд«” г« ѕг  Ё«ёѕ«р б≈д’«Ё «бд«” гд дЁ”я ё»б џн—я ° дЏ—Ё дЁ”н« яг г—н÷… жг —ж”… Ќёѕ жЌ”ѕ г« —ѕд« гдяг ‘н —ѕд«  яжджд гд’Ёнд —ѕд« »”  ”я жд Џд ≈‘«Џ… «бЁ д ж бЁнё «б«я«–н» —ѕд«  Ў»ёжд г« (  бЏбЏжд ) »е бнб жде«— ”ж«бЁ ( »ндн ж»нд «ббе ) Ўж—‘ жд« »не« дЏ—Ё »не« Н–» ж ”ЁнЎ »” ”»Џнд гЌгб ќб’д жн«яг жг« ЎбЏд« »Ќб ≈ѕЏ«Ѕ «б ѕнд ”еб »”  Ў»нёе ’Џ» Џбняг я–бя «бЁ—ё я»н— »нд ≈ѕЏ«Ѕ «бће«ѕ ж Ў»нёе ће«ѕ √дЁ”яг «бг—н÷… √жбм гд ће«ѕ Џѕжяг «д яд г гћ«еѕнд Ќёнённд Ў»Џ« ! жгЏ яб –бя г« —«Ќ  џн—жд ‘н гд «бж«ёЏ д»ём »«б’ѕ«—… џ’»«р Џбм ќ‘жгяг б≈дд« дЏгб б—÷« «ббе  Џ«бм ж«б генѕ б’«Ќ» «б“г«д Џбне «б”б«г б≈д дн« д« ’«ѕё… гЏ «ббе ждн« яг ( «бЎ‘… ) б≈дЁ”яг «б√г«—… »«б”жЅ #џ«б»ндяг_»ябед†",anger,,,,
"«бя—«г… «бЏё«∆ѕн… ен «б н  Ќёё «б≈д ’«— гЏ ёб… «б≈гя«дн«  ° «б ”бнЌ »б« Џёнѕ… еж гћ—ѕ ќ”«∆— г«бн… ”—нЏ«р г«  ’»Ќ ќ—ѕ… Ён √’џ— гж«ће… #«»ж_Џ»нѕ… #я «∆»_««бё”«г https://t.co/lZOUHL8DUn†",anger,,,,
жб« жЌѕ… «ћ  »«б—н‘ъ...ябед »«бЏўг ѕяд... ?? https://t.co/ulo8jpDERd†,sadness,,,,
д дн«еж гя—же »«бЏ«бг ж гЌ»ж» Џдѕ «б”Џжѕннд . . . бн‘ https://t.co/qNjdkGrf1W†,favoritism,,,,
≈дг« «бгƒгджд ≈ќж… гЋб «бгƒгднд Ён  ж«ѕег ж  —«Ќгег ягЋб «бћ”ѕ «бж«Ќѕ ..... е–« еж «бгжёЏ «б–н «ќ «—е «ббе ж —”жбе бг‘«Џ— «бгƒгд . https://t.co/bHIRgDdOxr†,favoritism,,,,
ё«ѕ… «бгё«жг… #’»«Ќх_«бќн— https://t.co/8M3kj9ewMe†,happiness,,,,
#«бё”«г_ж«бЎ—нё_«бм_«бёѕ” https://t.co/R3aWJ5k7W2†,favoritism,,,,
«еб «бжб«н… ег https://t.co/3Z1TrgduaT†,favoritism,,,,
?? Џ«ћб я «∆» «бё”«г  ” ѕ—ћ ёж… ’енждн… ≈бм √Ќѕ «б√дЁ«ё Ён гќнг ћ»«бн« ж ‘ »я гЏе« гд г”«Ё… «б’Ё— ж ё б ж ’н» ж √”— ћгнЏ √Ё—«ѕе« ?? #ЎжЁ«д_«б√ё’? #џ“е_гё»—…_«бџ“«е #я «∆»_««бё”«г https://t.co/bKD8Pyhww9†,anger,,,,
#‘«еѕ я «∆» «бё”«г  ” ѕ—ћ ёж… ’енждн… ≈бм √Ќѕ «б√дЁ«ё Ён гќнг ћ»«бн« ж ‘ »я гЏе« гд г”«Ё… «б’Ё— ж ё б ж ’н» ж √”— ћгнЏ √Ё—«ѕе« ж«б н я‘Ё Џде« «бд«Ўё «бЏ”я—н ббё”«г Џде« ё»б ёбнб ќб«б ябг е «б’ж н…. https://t.co/3jC2MNQX71†,anger,,,,
ћ«Ѕж« »яб ћнж‘ег «бћ—«—е бнЌ——ж« √”—«ег »«бёж…. бяд «бгё«жг… ћЏб ег е»«Ѕ« гдЋж—« »нд ё нб жћ—нЌ ж√”н— дё« бег гд дёЎ… ’Ё— дЌ—ё «бн« ег жд’Ў«ѕег я«б»Ў Ён «бЌёжб ея–« ё«б бд« «бд«Ўё «б’«ѕё #«»ж_Џ»нѕ… #—ЁЌ_гё»—…_«бџ“«… #џ“е_ ё«жг_ж” д ’—_»≈–д_«ббе https://t.co/wuLnJ8rNDI†,anger,,,,
»яг  ћ»— «бќж«Ў— Ё√д г «г ѕ«ѕ ббќЎ «бгё«жг «б‘—нЁ жѕнгжг е. н«ё—… √Џнд «бгўбжгнд ж”дѕ «б÷ЏЁ«Ѕ. «б√гнд Ён Ќ÷—… «бжбн #«»—«енг_—∆н”н https://t.co/Z23xUvfdil†,favoritism,,,,
жЏбняг «б”б«г н«ё«∆ѕ «б¬г… жЏбняг «б”б«г н«г–б «г—ня« ж≈”—«∆нб. https://t.co/AL6vtMBxDr†,anger,,,,
Џ«ћб —”гн«р џнЋ «б гнгн нЁёѕ Џёбе https://t.co/2Mr6u4XMRr†,anger,,,,
”г«Ќ… «б‘нќ «б√гнд ён” «бќ“Џбн ѕ«г Џ“е Ён г√ г Џ“«Ѕ ‘еѕ«Ѕ ж«ћ» «бќѕг… жЌ÷ж— ”г«Ќ… «бжбн «бЁёне «бќ«гд∆н ѕ«г —Џ»е. #«н—«д_ д ’—_бб«”б«г #«н—«д_«б«”б«гн… #‘енѕ_«бќѕг…_«б—÷жн… #‘е?ѕ_”?ѕ_«»—«е?г_—∆?”? #‘е?ѕ_«г?—_Џ»ѕ«бе?«д #«бгё«жг…_«б«”б«гн…_Ён_«бЏ—«ё #«ќж…_“нд» https://t.co/YZWcKa5SJQ†,favoritism,,,,
жг«“«б «»ж Џ»нѕ… ”нѕ «бгЏ—я… Ён г”«Ё… «б’Ё— б« дћ«… бћдѕ «б’е«нд… Ё«бг’н— «г« ё бм «ж «”—м ея–« еж «бян«д «бе‘ б«нёжм «г«г ћдѕ «бгё«жг…. #«»жЏ»нѕ… #—ЁЌ_гё»—…_«бџ“«… #џ“е_ ё«жг_ж” д ’—_»≈–д_«ббе†,anger,,,,
Ќ»н»д« «бгбЋг #√»ж_Џ»нѕ… нЏбд Џд ён«г «»Ў«б «бгё«жг… Џ’— «бнжг »ягнд гЌяг бћджѕ ж÷»«Ў «б«Ќ б«б Џдѕ гѕќб «Ќѕм «б«дЁ«ё Ён ћ»«бн« гг« «ѕм бжёжЏ ё бм жћ—Ќм ж√”—м »нѕ «бгё«жг… https://t.co/QS2C97KcxO†,favoritism,,,,
яб «бЏ“«Ѕ ж«бгж«”«… ≈бм ё«∆ѕд« ж ”ншѕд« «бЏ“н“ «бгћ«еѕ «б”нѕ Ќ”д д’— ? »жЁ«… ж«бѕ е «бгџЁж— бе« »≈–д ?  Џ«бм («бЌ«ћш… √г Ќ”д) жд”√б ? √д н—Ќге« »—Ќг ец «бж«”Џ… жн”яде« Ё”нЌ ћд« е жнЌ‘—е« гЏ гхЌгуш№№ѕт ж¬бц гхЌгуш№№ѕ «бЎн»нд «бЎ«е—нд. ≈душ« ббуше ж≈душ« ≈бнец —«ћЏжд. https://t.co/XTcUOvqHZX†,sadness,,,,
"# джне .. «бЏеѕ «бёд«… «бЏ—«ён… «бжЌнѕ… «б н  Ќ÷— гћ№б” Џ“«Ѕ «б—∆н” «б«н—«дн «б‘енѕ «»—«енг —∆н”н ж—Ё«ёе ° «б–н «ё«ге ё«∆ѕ «бЋж—… «б«”б«гн… «б”нѕ Џбн «бќ«гд∆н (ѕ«г ўбше ) https://t.co/MfVIPODoGO†",favoritism,,,,
?????? Џ‘н—… »дн г«бя  Ў«б» «б”нѕ гё ѕм «б’ѕ— » ”бнг ё б… «б‘«» ягнб «бг«бян ж«бгд гнд б”—«н« «б”б«г ж«бн ё«гж« »ЁЏб ег »‘е— —г÷«д «бя—нг «б«ёб«г «бг“дћ—… ж«бѕждн… «бн « ег  «бЏ’«∆» “ж—« «де ег «бн ё«гж« »«бћ—нг… ‘ж «дќ—”  е”е бж ќб’ Ќ»—е« «бнжг Џд «Џб«д «бЌёнё… https://t.co/EyUSEIeoKT†,anger,,,,
«Ћнб «бдћнЁн: ѕ«Џ‘ гж ябег ≈—е«»ннд ж Ё«ж÷  гЏег Ён √—»нб https://t.co/SPSxGUvvUA†,favoritism,,,,
≈д гд нё»б «б’бЌ гЏ ≈”—«∆нб Ёёѕ ќ—ћ Џд «б≈”б«г . - гЌгѕ »«ё— «б’ѕ— (ёѕ”)†,anger,,,,
"Ён  ’—нЌ Ќ’—н ббЏеѕ .. ”г«Ќ… #«б‘нќ_ён”_«бќ“Џбн гд гћб” Џ“«Ѕ «б—∆н” «б«н—«дн «б‘енѕ #«»—«енг_—∆н”н ж—Ё«ёе° «б–н «ё«ге ё«∆ѕ «бЋж—… «б«”б«гн… «б”нѕ Џбн «бќ«гд∆н #«н—«д_ёб»_«бгё«жг… #нжг_«бгедѕ”_«бЏ—«ён https://t.co/8epWlvh1Cw†",favoritism,,,,
#ж«бѕ  –«бя «б»Ўб ”г«Ќ… «б”нѕ #Ќ”д #д’—«ббе Ён –г  «ббе «д« «ббе ж«д« «бе —«ћЏжд https://t.co/dei5SueAvJ†,sadness,,,,
«бм ћд«д «бќхбѕ √н е« «бЎ«е—… «бдён… ж‘я—« бя бг« ёѕг ц Ён ”»нб «ббе  Џ«бм ќ«б’ «б Џ«“н дёѕге« «бм ”нѕ «бгё«жг… #Ќ”д_д’—«ббе »е–« «бг’«» ”«∆бнд «бгжбм Џ“ жћб «д н џгѕ «бЁёнѕ… »ж«”Џ —Ќг е ж√д н—“ёе« ‘Ё«Џ… ”нѕ д« жгжб« д« «б“е—«Ѕ Џбне« «б”б«г https://t.co/iOIC1UM3EE†,sadness,,,,
ж’хдш«Џ «бд’— џ«»ж« бжё  џн— гЏбжг.. Џ”м √д д‘еѕ –бя «бнжг «б–н нЏжѕжд Ёне гЏ «б≈г«г «бё«∆г Џћб «ббе Ё—ће «б‘—нЁ. #нжг_«бгедѕ”_«бЏ—«ён https://t.co/ivOGIAKY4Q†,sadness,,,,
е–е бн”  г‘еѕ «бгёѕ”… жб« Ўе—«д «де« я‘гн— «бедѕн… ЌнЋ ќ—ћ г∆«  «б«Ё бб ‘ннЏ «б—г“н б«н… «ббе «»—«енг —∆н”н #«»—«енг_—∆н”м #«н—«д https://t.co/h1GAirptn9†,none of them,,,,
"Ён  ’—нЌ Ќ’—н бёд«… #«бЏеѕ .. ”г«Ќ… «б‘нќ ён” «бќ“Џбн гд гћб” Џ“«Ѕ #«б—∆н”_«б≈н—«дн «б‘енѕ #«»—«енг_—∆н”н ж—Ё«ёе° «б–н «ё«ге ё«∆ѕ «бЋж—… «б«”б«гн… «б”нѕ Џбн «бќ«гд∆н . #«н—«д_ёб»_«бгё«жге #нжг_«бгедѕ”_«бЏ—«ён https://t.co/OTUQrRaOF9†",favoritism,,,,
"Ён  ’—нЌ Ќ’—н ббЏеѕ .. ”г«Ќ… «б‘нќ ён” «бќ“Џбн гд гћб” Џ“«Ѕ «б—∆н” «б«н—«дн «б‘енѕ «»—«енг —∆н”н ж—Ё«ёе° «б–н «ё«ге ё«∆ѕ «бЋж—… «б«”б«гн… «б”нѕ Џбн «бќ«гд∆н https://t.co/vUOv57Xjli†",favoritism,,,,
"https://www.tiktok.com/@_hmj313/video/7372981716752829714?_r=1&u_code=e60fc4jgikg4h4&preview_pb=0&sharer_language=ar&_d=eadg024l7gfa07&share_item_id=7372981716752829714&source=h5_m&timestamp=1716660565&ug_btm=b8727,b2878&sec_user_id=MS4wLjABAAAA12g7XntKZYYMKmBxJWcodwqMAekuCFab2NtxMKsq57yoF7ziIJWC6t9XYKHUm2A-&utm_source=twitter&social_share_type=0&utm_campaign=client_share&utm_medium=ios&tt_from=twitter&user_id=7188640205628654597&enable_checksum=1&share_link_id=A084646A-1959-40D5-8BB1-A52BED2E7036&share_app_id=1233 ‘«еѕ гёЎЏ «бЁнѕнж «бќ«’ »№Ќ”нд «б”«Џѕн! #TikTok†",happiness,,,,
ж«ёЏ… «бгЎ«—  Ћ»  «д «бгж  бн” «бде«н…!! Ёяг гд ‘енѕ б« “«б Ќн »ндд« «б”б«г Џбм гбег «бЌ‘ѕ жћг«бе #нжг_«бгедѕ”_«бЏ—«ён https://t.co/gQr8IXDAPH†,happiness,,,,
"Ён ЌѕнЋе Џд ќ’«∆’ ћ»е… «бЌёш° н Ў—шё ”г«Ќ… «б”нѕ е«‘г «бЌнѕ—н ≈бм ж«Ќѕ… гд е–е «бќ’«∆’ жен √д е–е «бћ»е… жбжѕ…° Ё≈–« –е» ё«∆ѕ ‘енѕ«р Ё≈дше« ” жбѕ ¬б«Ё «бё«ѕ… »Џѕе Ён гќ бЁ «б»бѕ«д° ё«∆б«р: ≈дш »ён… «б”ншЁ √дгм жеж г« ‘«еѕд«е Ён “г«дд«. #«б”нѕ_е«‘г_«бЌнѕ—н https://t.co/r35irc9CrS†",happiness,,,,
